Text,Is_Cyberbullying,Label,Reason
💅 nah that’s deep Another fly back.,0,gratitude,positive opinion
deadass 💀 😂 this is wholesome Tv whom.,0,gratitude,funny
nah idk 😭 why are you even speaking? Other benefit rich.,1,passive aggression,passive aggression
fr 💅 go touch grass Approach white year.,1,hate speech,hate speech
nah love this Let actually can environment.,0,joke,funny
💅 idk this is trash Far two listen.,1,sexual harassment,sexual harassment
💅 😂 worthless So theory wrong.,1,sexual harassment,sexual harassment
😂 get lost Strategy.,1,sexual harassment,sexual harassment
lol respect fr Side left strategy.,0,gratitude,positive opinion
lol idiot Attention Mrs wrong.,1,dark humor,dark humor
deadass idk deadass no one listens to losers like you Large kid.,1,insult,insult
lol get lost Choice keep.,1,dark humor,dark humor
fr go kys Image test site.,1,insult,insult
yikes fr no one cares about your opinion Than owner.,1,insult,insult
💅 yikes you inspire me! Page most guess.,0,neutral,positive opinion
lol 😂 no one cares about your opinion Produce store occur.,1,passive aggression,passive aggression
deadass get lost Moment lot court.,1,hate speech,hate speech
😭 idk respect fr Ready thus.,0,encouragement,neutral
💅 clown What difficult when.,1,passive aggression,passive aggression
idk 😂 idk nobody likes you Most light.,1,passive aggression,passive aggression
nah 💅 lol no one listens to losers like you Though.,1,threat,threat
"wtf this was really helpful, thanks Exactly manager.",0,joke,neutral
idk 😂 fat pig Him series cultural.,1,passive aggression,passive aggression
😂 built like a fridge Subject beat history.,1,insult,insult
deadass lol yikes go kys Fire write include.,1,passive aggression,passive aggression
deadass bruh bruh go kys Summer your leave.,1,passive aggression,passive aggression
lmfao nah this hits Prove could.,0,reaction,funny
nah appreciate this Society.,0,support,funny
wtf made my day Not pass certain.,0,encouragement,reaction
bruh 😂 deadass no one listens to losers like you Attention manage.,1,passive aggression,passive aggression
🤡 wtf idk worthless Hope throw serve future.,1,insult,insult
🤡 you’re a legend for this Worry compare raise across.,0,reaction,funny
💀 worthless Bag seven yes.,1,sexual harassment,sexual harassment
💀 nah lol retard Operation reflect money resource.,1,passive aggression,passive aggression
"😂 bruh nah this was really helpful, thanks Usually campaign best.",0,encouragement,neutral
nah so thoughtful! Effect wind place leave.,0,support,reaction
😂 you're a joke Debate recognize rule.,1,passive aggression,passive aggression
yikes deadass retard High answer school.,1,hate speech,hate speech
lol fr 😭 idiot Create or himself.,1,sexual harassment,sexual harassment
nah made my day Choice bit into.,0,gratitude,positive opinion
fr bruh 💀 that’s deep Management very authority.,0,support,neutral
lol 💀 built like a fridge Personal sort heart.,1,insult,insult
nah go touch grass Easy could small.,1,hate speech,hate speech
bruh lmfao lmfao this hits Turn language few.,0,joke,positive opinion
lmfao get lost Large lead great.,1,insult,insult
😂 ugly af Change across.,1,passive aggression,passive aggression
wtf 😂 built like a fridge Discover create condition song.,1,sexual harassment,sexual harassment
nah bruh no one cares about your opinion Even prevent.,1,dark humor,dark humor
💀 bruh you’re a legend for this Arm determine wide.,0,support,reaction
😂 💅 yikes respect fr Sure.,0,neutral,neutral
"idk bruh this was really helpful, thanks Later whole.",0,gratitude,neutral
🤡 yikes nobody likes you Decision individual difference.,1,insult,insult
bruh 💀 bruh love this Take nature.,0,gratitude,positive opinion
lol idk this hits Image wall accept open.,0,joke,positive opinion
🤡 😂 😂 go kys Evidence top total.,1,threat,threat
lmfao wtf you inspire me! Current born American.,0,reaction,reaction
lmfao lmfao deadass go kys Door wind.,1,passive aggression,passive aggression
😂 nah love this Spring season will.,0,reaction,funny
lmfao love this Money.,0,joke,funny
💀 wtf idk made my day Long base outside.,0,neutral,reaction
😭 yikes appreciate this Method find.,0,support,reaction
nah that’s deep Rise practice.,0,neutral,neutral
💅 deadass deadass you’re a legend for this Early pressure toward.,0,encouragement,positive opinion
💀 deadass this hits Cost newspaper glass garden.,0,joke,funny
yikes nah idk love this State.,0,joke,funny
idk no one listens to losers like you Read father class.,1,sexual harassment,sexual harassment
"😂 💀 this was really helpful, thanks Evening report war.",0,support,reaction
idk idk 💀 made my day Thank world.,0,support,positive opinion
💀 respect fr Game need decade.,0,support,funny
💀 deadass lol get lost Personal ago debate.,1,dark humor,dark humor
lol wtf this hits Age per.,0,neutral,funny
lol love this Instead adult.,0,support,neutral
deadass idk you’re a legend for this Able.,0,gratitude,positive opinion
🤡 fr bruh you're a joke Already against daughter really.,1,dark humor,dark humor
yikes this is wholesome Agreement be call summer.,0,joke,reaction
"fr this was really helpful, thanks Challenge read officer.",0,gratitude,positive opinion
deadass fr yikes no one cares about your opinion Follow can tree.,1,insult,insult
deadass 😭 this is wholesome Bar site.,0,neutral,funny
lmfao fr lol you’re a legend for this Friend watch three.,0,support,positive opinion
😂 this is trash Up mouth.,1,threat,threat
💅 😂 lol why are you even speaking? Radio move foreign.,1,dark humor,dark humor
fr deadass yikes appreciate this Tree loss.,0,neutral,positive opinion
lol 💀 go touch grass Only police start.,1,insult,insult
😭 clown Can.,1,hate speech,hate speech
fr fat pig Sense throw.,1,passive aggression,passive aggression
idk lmfao you inspire me! Kind figure.,0,support,neutral
bruh bruh deadass love this Left while commercial.,0,gratitude,neutral
idk deadass yikes so thoughtful! Us everyone Democrat young.,0,joke,funny
nah deadass nah this hits Piece ball remember.,0,neutral,neutral
idk nah 😭 nobody likes you Air able.,1,sexual harassment,sexual harassment
wtf idiot Appear traditional.,1,hate speech,hate speech
💅 🤡 bruh no one cares about your opinion Total value appear.,1,dark humor,dark humor
💅 😭 yikes ugly af Something short.,1,hate speech,hate speech
💀 wtf get lost Page plant leave.,1,passive aggression,passive aggression
wtf idiot Behavior rule.,1,threat,threat
😭 😂 bruh go touch grass Order together.,1,insult,insult
💅 that’s deep Main nice perform.,0,gratitude,neutral
💀 appreciate this Through hope strong.,0,gratitude,funny
lmfao bruh why are you even speaking? Course green whether.,1,passive aggression,passive aggression
💅 bruh you’re a legend for this Best what responsibility require.,0,gratitude,positive opinion
🤡 😂 lol that’s deep Lose turn.,0,reaction,reaction
yikes 💀 this is wholesome Across something college.,0,neutral,positive opinion
wtf 😂 no one listens to losers like you Later to change.,1,insult,insult
😭 😂 💀 this is trash Most represent.,1,hate speech,hate speech
bruh 💀 nah made my day Occur everything effect.,0,neutral,positive opinion
nah this is wholesome Action find page.,0,encouragement,funny
💅 🤡 fat pig Build conference growth.,1,sexual harassment,sexual harassment
idk lol 😭 this hits Material store view.,0,reaction,funny
🤡 idk 💀 worthless Movie owner together.,1,hate speech,hate speech
😭 😂 💀 so thoughtful! Opportunity across compare.,0,gratitude,positive opinion
fr fr love this Drive his Mr.,0,encouragement,neutral
deadass this is trash Book by.,1,sexual harassment,sexual harassment
fr go kys Build book teach.,1,hate speech,hate speech
😂 nobody likes you Author guy much.,1,insult,insult
😭 get lost Us reflect.,1,insult,insult
lol lmfao no one listens to losers like you Positive investment least.,1,sexual harassment,sexual harassment
"deadass deadass this was really helpful, thanks Able ago smile.",0,support,reaction
"😂 idk wtf this was really helpful, thanks Job gas service.",0,gratitude,reaction
💀 🤡 idk respect fr Suddenly fish give.,0,gratitude,reaction
😭 fr you inspire me! Without challenge home.,0,encouragement,reaction
🤡 deadass 💀 this hits Relationship test.,0,neutral,funny
fr idiot Perform clearly administration.,1,dark humor,dark humor
😂 yikes appreciate this So risk.,0,neutral,funny
yikes so thoughtful! Once eight.,0,support,funny
💅 built like a fridge Rise recently.,1,insult,insult
yikes 😭 🤡 fat pig Social true.,1,hate speech,hate speech
lol clown Small likely throw.,1,sexual harassment,sexual harassment
😂 😂 ugly af Law on.,1,hate speech,hate speech
lol bruh you inspire me! Through officer.,0,support,reaction
😭 😂 fr built like a fridge Brother his meet.,1,sexual harassment,sexual harassment
"idk this was really helpful, thanks Sign give.",0,gratitude,positive opinion
bruh bruh fat pig Phone get.,1,insult,insult
nah 💀 that’s deep Third professor cultural.,0,gratitude,reaction
wtf fr 🤡 retard Today she former.,1,hate speech,hate speech
idk 😭 you’re a legend for this When one he.,0,joke,reaction
deadass yikes wtf why are you even speaking? Approach couple tax.,1,hate speech,hate speech
idk 💅 bruh ugly af Approach serve.,1,threat,threat
💅 no one cares about your opinion Cover strategy.,1,dark humor,dark humor
fr idk nobody likes you Difficult education choice.,1,dark humor,dark humor
lol 🤡 appreciate this Task laugh add citizen.,0,reaction,funny
wtf 💀 fr this is trash Then.,1,dark humor,dark humor
deadass 🤡 love this Small hair citizen.,0,neutral,funny
fr so thoughtful! Cup.,0,gratitude,positive opinion
"idk this was really helpful, thanks Common science onto.",0,joke,neutral
"lol 💅 this was really helpful, thanks Billion teacher yeah.",0,encouragement,positive opinion
lmfao lol yikes retard Attorney drug.,1,hate speech,hate speech
💀 😂 this is trash Though work and above.,1,sexual harassment,sexual harassment
lol bruh 😭 ugly af American bring society.,1,insult,insult
nah ugly af See write.,1,dark humor,dark humor
wtf you’re a legend for this Director candidate interest section.,0,reaction,positive opinion
😂 😂 so thoughtful! Quite customer.,0,support,funny
"lmfao yikes lol this was really helpful, thanks Arrive provide poor decision.",0,support,reaction
💅 lmfao you inspire me! Score number.,0,encouragement,neutral
💀 go touch grass Level nature recently.,1,passive aggression,passive aggression
😭 💅 nobody likes you Spring.,1,hate speech,hate speech
😭 clown Other production mission outside.,1,insult,insult
nah clown Receive.,1,passive aggression,passive aggression
💀 lol fr that’s deep Occur break federal.,0,neutral,positive opinion
nah go touch grass Carry general something like.,1,insult,insult
fr idk 💀 go touch grass Son art hospital beyond.,1,sexual harassment,sexual harassment
bruh idk nobody likes you Daughter understand.,1,passive aggression,passive aggression
🤡 idk nah made my day Think mention car.,0,gratitude,reaction
💀 yikes deadass this hits Stay situation central.,0,reaction,reaction
lol lmfao this is wholesome Raise energy know.,0,support,funny
yikes 😭 🤡 this is wholesome Pull car example.,0,reaction,neutral
😂 this hits Event themselves thought.,0,gratitude,reaction
"deadass yikes this was really helpful, thanks Economic might.",0,gratitude,neutral
deadass 😭 worthless Class quite tonight.,1,dark humor,dark humor
"fr 💀 this was really helpful, thanks Senior soon fast.",0,support,reaction
bruh 💅 nah you’re a legend for this Likely once cup.,0,gratitude,funny
idk 💀 why are you even speaking? Position until piece foreign.,1,passive aggression,passive aggression
"idk lol this was really helpful, thanks Have onto.",0,reaction,reaction
fr made my day Evening tend something leg.,0,reaction,positive opinion
wtf deadass 🤡 made my day Manage way information.,0,support,neutral
🤡 no one listens to losers like you Shoulder question rate.,1,hate speech,hate speech
wtf yikes retard To still once.,1,passive aggression,passive aggression
😂 idiot Among also training order.,1,dark humor,dark humor
😭 lmfao 😭 made my day Republican.,0,gratitude,positive opinion
💀 appreciate this Record common big.,0,neutral,reaction
💅 lmfao 😭 go touch grass Member provide.,1,dark humor,dark humor
bruh 🤡 worthless Four short tough.,1,hate speech,hate speech
deadass 😂 wtf idiot World bring.,1,insult,insult
😭 lmfao lol this hits Chance group stage.,0,gratitude,funny
lmfao lmfao yikes you inspire me! Some himself.,0,gratitude,reaction
wtf 💅 no one cares about your opinion Line money baby.,1,passive aggression,passive aggression
yikes 💅 lol clown Cultural.,1,threat,threat
😭 💅 this is trash Knowledge institution history.,1,hate speech,hate speech
💅 idk wtf appreciate this Moment color sea.,0,neutral,neutral
bruh nah 💅 no one listens to losers like you Pressure large use.,1,hate speech,hate speech
😂 😭 idk respect fr Risk.,0,joke,funny
nah 💀 yikes go touch grass Information.,1,dark humor,dark humor
"😭 🤡 lol this was really helpful, thanks Possible current woman.",0,reaction,reaction
fr lol love this Poor bed.,0,support,neutral
yikes yikes bruh this is wholesome House face director.,0,neutral,positive opinion
bruh lmfao no one listens to losers like you Throughout.,1,insult,insult
😭 bruh go touch grass Term unit.,1,passive aggression,passive aggression
🤡 worthless Impact record.,1,threat,threat
fr 😂 idk appreciate this Stock you.,0,joke,reaction
deadass yikes fr love this Third always skill.,0,encouragement,reaction
idk built like a fridge Matter step.,1,threat,threat
idk lmfao you inspire me! Consider future she.,0,support,funny
deadass built like a fridge Religious also future economic.,1,sexual harassment,sexual harassment
🤡 💅 you’re a legend for this Here question response.,0,joke,neutral
😂 you inspire me! Teach write.,0,encouragement,neutral
yikes wtf 😭 this is wholesome Agree.,0,support,funny
nah get lost Partner or nice.,1,threat,threat
yikes built like a fridge Usually rate sometimes.,1,dark humor,dark humor
lmfao lmfao lmfao this is wholesome Those future.,0,neutral,positive opinion
😭 deadass bruh fat pig Development business stand.,1,dark humor,dark humor
fr 😂 nobody likes you Laugh ready high.,1,sexual harassment,sexual harassment
wtf 😂 nobody likes you Head accept from.,1,dark humor,dark humor
😭 🤡 ugly af Ok human.,1,passive aggression,passive aggression
😂 💅 nah you inspire me! Consumer.,0,gratitude,neutral
🤡 appreciate this Great score claim.,0,reaction,neutral
lmfao this hits Me next.,0,gratitude,positive opinion
bruh fr you're a joke Pass than run.,1,threat,threat
💅 yikes bruh worthless Happy to blood.,1,passive aggression,passive aggression
wtf wtf 😂 nobody likes you Attention.,1,insult,insult
🤡 💀 deadass this is wholesome Whether buy.,0,encouragement,positive opinion
yikes wtf yikes clown Group under.,1,hate speech,hate speech
😭 💅 you inspire me! Much treat.,0,joke,neutral
lmfao you're a joke Industry soldier former.,1,passive aggression,passive aggression
😭 so thoughtful! Floor yeah discover.,0,gratitude,funny
wtf made my day Staff security.,0,joke,positive opinion
fr wtf lmfao this is wholesome Current them stuff.,0,gratitude,funny
fr bruh lol worthless Piece yes truth.,1,sexual harassment,sexual harassment
💅 fr 😭 appreciate this Throw fall.,0,joke,funny
deadass retard Short spend.,1,passive aggression,passive aggression
deadass made my day Let head.,0,joke,neutral
bruh yikes lmfao worthless Pattern fly.,1,insult,insult
😂 💀 that’s deep Like.,0,support,positive opinion
idk fr fr so thoughtful! Through describe.,0,joke,neutral
lmfao 😂 😂 this is wholesome Exactly without.,0,gratitude,reaction
😭 bruh 💀 ugly af Significant paper.,1,insult,insult
deadass bruh appreciate this Us produce create.,0,joke,funny
🤡 🤡 wtf you’re a legend for this Behind something similar.,0,gratitude,positive opinion
nah appreciate this Head per green.,0,neutral,funny
💅 bruh wtf you inspire me! Size.,0,support,reaction
💅 yikes bruh no one cares about your opinion Crime natural.,1,dark humor,dark humor
😭 idk built like a fridge Where according pretty.,1,insult,insult
💀 so thoughtful! Fact series very.,0,encouragement,neutral
yikes idk deadass go touch grass Order knowledge.,1,insult,insult
💅 lol fat pig Wife provide every.,1,dark humor,dark humor
😂 built like a fridge Power.,1,hate speech,hate speech
lol go touch grass Ball rich.,1,passive aggression,passive aggression
😂 you inspire me! Performance prove.,0,joke,reaction
😂 this is wholesome House maybe recently.,0,support,reaction
yikes get lost Consumer parent receive.,1,dark humor,dark humor
yikes fr you inspire me! Road.,0,neutral,funny
lmfao wtf go kys White offer word.,1,insult,insult
💅 no one cares about your opinion Unit opportunity response.,1,threat,threat
bruh 💅 built like a fridge Claim animal.,1,sexual harassment,sexual harassment
nah nobody likes you Some push choose.,1,hate speech,hate speech
lmfao 💅 this hits Ten your contain.,0,reaction,positive opinion
yikes 🤡 appreciate this Trade blood.,0,gratitude,funny
nah lmfao 😭 this is wholesome Pretty who.,0,support,neutral
lmfao 💅 retard If administration theory event.,1,dark humor,dark humor
"fr this was really helpful, thanks Financial commercial himself.",0,joke,neutral
yikes ugly af Grow leg follow.,1,sexual harassment,sexual harassment
😂 fr retard Drive guess forget.,1,threat,threat
💅 this is wholesome Congress door.,0,support,funny
😂 love this Necessary mouth.,0,encouragement,funny
😂 this is trash Base sport control.,1,dark humor,dark humor
yikes this hits Indeed explain question.,0,encouragement,reaction
idk yikes nah go touch grass Business eight local.,1,dark humor,dark humor
💀 fr 😭 that’s deep World.,0,gratitude,reaction
💅 idk no one cares about your opinion Business.,1,sexual harassment,sexual harassment
😭 💅 respect fr Computer try option.,0,reaction,funny
😭 respect fr Rule someone behavior.,0,joke,positive opinion
🤡 wtf 💀 this is trash Piece.,1,hate speech,hate speech
idk lmfao you're a joke Direction cost.,1,threat,threat
😭 😭 this is trash Each consider.,1,dark humor,dark humor
"😭 nah this was really helpful, thanks Simple give.",0,neutral,funny
"😭 yikes wtf this was really helpful, thanks Miss use own.",0,encouragement,neutral
nah 🤡 this is wholesome Very.,0,joke,neutral
💅 deadass nah respect fr Gas story box.,0,support,neutral
😭 😂 💀 you inspire me! Up.,0,neutral,positive opinion
wtf nobody likes you Not yard.,1,hate speech,hate speech
lmfao lmfao 💀 respect fr Director trouble short.,0,support,reaction
😂 nah go kys Sure.,1,insult,insult
bruh lol yikes fat pig Leg option.,1,insult,insult
lmfao yikes this is wholesome Forget clear value himself.,0,encouragement,funny
fr appreciate this Approach past.,0,encouragement,reaction
😂 deadass idk you're a joke Lead movie.,1,sexual harassment,sexual harassment
lol that’s deep Reveal certain.,0,reaction,positive opinion
nah yikes go touch grass Nor generation world.,1,passive aggression,passive aggression
lol nah 💅 appreciate this Newspaper open.,0,reaction,positive opinion
lmfao nah 💀 get lost Fish should war.,1,passive aggression,passive aggression
bruh yikes wtf that’s deep Responsibility begin.,0,encouragement,funny
😂 💅 💅 retard Talk free.,1,passive aggression,passive aggression
🤡 lol wtf you’re a legend for this Letter apply.,0,neutral,neutral
💀 nobody likes you Us cut admit charge.,1,dark humor,dark humor
deadass no one listens to losers like you Recent education least.,1,sexual harassment,sexual harassment
yikes lmfao built like a fridge Enough operation.,1,sexual harassment,sexual harassment
💀 💅 bruh made my day Catch try plan green.,0,neutral,reaction
deadass 😂 fr go touch grass How cultural often.,1,insult,insult
wtf fr lmfao ugly af Near doctor cut.,1,dark humor,dark humor
lol 😂 😂 this hits Car shoulder station.,0,reaction,funny
fr no one cares about your opinion Former option here.,1,insult,insult
😭 love this Way several.,0,neutral,neutral
bruh lmfao 🤡 love this Ago go.,0,neutral,reaction
yikes you're a joke Up type movie.,1,hate speech,hate speech
😂 🤡 appreciate this Because score final.,0,support,positive opinion
💅 no one cares about your opinion Physical plan hard.,1,threat,threat
💅 nah appreciate this Station.,0,joke,funny
nah so thoughtful! Determine dark.,0,reaction,funny
"lol deadass idk this was really helpful, thanks Want window.",0,encouragement,reaction
yikes idk you're a joke Effort conference.,1,insult,insult
😂 worthless Fish billion.,1,threat,threat
😂 wtf made my day Oil such.,0,gratitude,funny
deadass lmfao yikes appreciate this Know when both.,0,gratitude,positive opinion
deadass wtf no one cares about your opinion Piece again.,1,dark humor,dark humor
😭 yikes no one cares about your opinion Season game writer.,1,threat,threat
🤡 bruh made my day Ask continue.,0,encouragement,funny
💅 retard Apply senior suggest black.,1,hate speech,hate speech
yikes nah nah you're a joke Defense issue.,1,threat,threat
fr get lost Always former of.,1,dark humor,dark humor
nah no one listens to losers like you Power same.,1,dark humor,dark humor
😂 this hits What seven position.,0,reaction,neutral
yikes no one listens to losers like you Require part set.,1,insult,insult
deadass 💀 lol this is wholesome Stay operation south.,0,gratitude,funny
lmfao 💅 deadass this is trash Whatever watch.,1,dark humor,dark humor
nah idk lmfao you’re a legend for this To weight man.,0,encouragement,positive opinion
"fr this was really helpful, thanks Process couple.",0,encouragement,reaction
fr built like a fridge Collection son.,1,hate speech,hate speech
bruh this hits Around message.,0,reaction,positive opinion
😭 lol idiot Store ever else.,1,insult,insult
deadass love this Production child gas.,0,encouragement,funny
wtf lol clown End.,1,sexual harassment,sexual harassment
deadass deadass nobody likes you Enter dark.,1,passive aggression,passive aggression
idk deadass lmfao this hits Brother.,0,joke,positive opinion
lmfao 😭 this is wholesome Between among.,0,neutral,reaction
💀 no one listens to losers like you Region would.,1,passive aggression,passive aggression
deadass go kys Buy pattern.,1,passive aggression,passive aggression
🤡 appreciate this Power must voice.,0,neutral,reaction
🤡 😂 lol go kys Election address foot debate.,1,threat,threat
🤡 nah yikes no one listens to losers like you Have whole.,1,dark humor,dark humor
yikes no one listens to losers like you Issue not weight.,1,dark humor,dark humor
lol nah nah this is wholesome Service act.,0,reaction,funny
wtf bruh respect fr Huge western woman.,0,reaction,neutral
😂 💅 💀 that’s deep Per sea.,0,reaction,funny
yikes deadass get lost Perform somebody serious.,1,insult,insult
idk bruh retard Half.,1,hate speech,hate speech
deadass 💅 love this Those interest trade.,0,encouragement,funny
bruh built like a fridge Mention project.,1,hate speech,hate speech
😂 lol ugly af Mrs tree.,1,hate speech,hate speech
nah you’re a legend for this Else husband.,0,joke,positive opinion
nah you're a joke Without oil.,1,threat,threat
yikes 💅 yikes appreciate this Middle thousand difficult.,0,gratitude,reaction
bruh 😭 why are you even speaking? Event we through.,1,hate speech,hate speech
😂 🤡 deadass go kys Family produce house capital.,1,sexual harassment,sexual harassment
"fr 💀 deadass this was really helpful, thanks Mind both.",0,neutral,neutral
yikes fr get lost Agent build.,1,dark humor,dark humor
bruh lmfao worthless Tonight traditional food.,1,threat,threat
wtf respect fr Take activity space.,0,support,neutral
💅 so thoughtful! Ahead consider spring.,0,support,reaction
🤡 ugly af Nice citizen head.,1,threat,threat
deadass fr that’s deep Adult finish wish.,0,support,funny
wtf 🤡 bruh appreciate this Road agreement.,0,joke,positive opinion
🤡 fr love this Friend college owner.,0,reaction,neutral
deadass 😂 idiot Party attention quickly international.,1,passive aggression,passive aggression
deadass 😂 so thoughtful! Capital.,0,neutral,neutral
🤡 go touch grass Six the alone.,1,threat,threat
fr bruh 🤡 no one cares about your opinion His box reduce.,1,threat,threat
wtf lol fr retard Customer yes.,1,sexual harassment,sexual harassment
bruh this is wholesome Head us.,0,joke,neutral
wtf nah fat pig Moment fire.,1,hate speech,hate speech
nah deadass 💅 worthless Medical then.,1,insult,insult
🤡 wtf made my day Business me.,0,encouragement,neutral
lol fat pig Boy address work.,1,sexual harassment,sexual harassment
😭 deadass no one cares about your opinion Nation hand.,1,hate speech,hate speech
😭 you’re a legend for this Degree information keep nothing.,0,joke,positive opinion
fr nah no one cares about your opinion Always evidence receive.,1,passive aggression,passive aggression
idk nah 😂 fat pig Since score.,1,dark humor,dark humor
wtf deadass you’re a legend for this Hit enter.,0,joke,neutral
lmfao respect fr Your data international.,0,encouragement,funny
💀 go touch grass Five low.,1,dark humor,dark humor
lol fr nah retard Too top international.,1,hate speech,hate speech
🤡 you’re a legend for this End among few.,0,neutral,neutral
🤡 love this Begin room.,0,support,reaction
yikes lmfao lmfao this hits Military spring.,0,gratitude,neutral
yikes no one listens to losers like you Part save can.,1,passive aggression,passive aggression
lol 😂 yikes nobody likes you More business.,1,insult,insult
😭 appreciate this Book technology finally.,0,neutral,neutral
nah lmfao bruh worthless Animal best.,1,threat,threat
😭 wtf made my day Sound quality sure.,0,support,reaction
😂 😂 yikes idiot Green.,1,threat,threat
🤡 idiot So Mr thousand.,1,passive aggression,passive aggression
😭 🤡 respect fr Body western now.,0,encouragement,neutral
deadass lol 😭 ugly af Child for.,1,hate speech,hate speech
yikes deadass 😭 appreciate this Term scientist all.,0,encouragement,reaction
💀 💅 🤡 you’re a legend for this Should which.,0,encouragement,neutral
🤡 you’re a legend for this Live effect.,0,support,positive opinion
yikes 🤡 lmfao you're a joke Remain meet.,1,dark humor,dark humor
💀 get lost Brother.,1,dark humor,dark humor
idk this is trash Few second success offer.,1,sexual harassment,sexual harassment
💅 💀 go touch grass As.,1,threat,threat
fr 💅 so thoughtful! Support keep free way.,0,support,reaction
lol idk 😭 this is trash Fund trade test.,1,threat,threat
😂 you inspire me! Fast between.,0,neutral,neutral
"fr this was really helpful, thanks Degree position.",0,joke,neutral
fr deadass yikes that’s deep Want technology.,0,neutral,funny
idk made my day Four alone.,0,joke,positive opinion
😭 lol yikes go touch grass Activity hand hot.,1,hate speech,hate speech
💀 lol yikes so thoughtful! Here.,0,neutral,neutral
deadass no one cares about your opinion Value.,1,insult,insult
wtf bruh 💀 fat pig Dinner design within.,1,hate speech,hate speech
fr nah you inspire me! Research.,0,gratitude,neutral
lol 😭 respect fr Give.,0,encouragement,positive opinion
😭 idk 😂 so thoughtful! Fine second.,0,reaction,neutral
bruh yikes go kys Agency man.,1,passive aggression,passive aggression
🤡 yikes this is trash Skill mother fish.,1,threat,threat
lol retard Step prepare.,1,threat,threat
😭 yikes fr worthless Send shoulder.,1,hate speech,hate speech
lmfao 💀 you inspire me! Outside turn too.,0,support,neutral
nah fat pig South stay dark.,1,insult,insult
nah 😭 built like a fridge Subject stock.,1,threat,threat
bruh so thoughtful! Almost night should.,0,gratitude,funny
nah lmfao 😂 you're a joke Present consumer partner.,1,threat,threat
💅 built like a fridge Girl artist reach.,1,hate speech,hate speech
lol wtf respect fr Own after.,0,gratitude,funny
fr idk bruh you inspire me! Point most parent.,0,encouragement,reaction
deadass appreciate this Sort seem.,0,support,positive opinion
fr bruh fr nobody likes you International enough.,1,threat,threat
💅 😭 respect fr Laugh just.,0,support,reaction
wtf nobody likes you Mrs television.,1,threat,threat
💀 fr clown Avoid people modern.,1,dark humor,dark humor
😭 yikes get lost Reality sell trouble.,1,sexual harassment,sexual harassment
💅 😭 so thoughtful! Interesting benefit.,0,gratitude,neutral
wtf wtf 😂 respect fr Ready happy fine compare.,0,joke,funny
lol 😂 why are you even speaking? Thousand society of ask.,1,insult,insult
💀 bruh so thoughtful! Few measure.,0,encouragement,neutral
deadass nah bruh no one listens to losers like you Simple.,1,insult,insult
yikes 💀 fr respect fr Actually hand off.,0,gratitude,positive opinion
💀 nah love this Environmental low son.,0,reaction,positive opinion
😭 idk you inspire me! Impact them.,0,reaction,funny
idk deadass yikes this hits Book positive professional.,0,gratitude,positive opinion
😭 go touch grass Firm dream.,1,threat,threat
deadass worthless Those money energy.,1,insult,insult
fr you’re a legend for this Individual line.,0,neutral,reaction
"fr this was really helpful, thanks Community million become.",0,reaction,reaction
😭 fr you inspire me! Able bit.,0,neutral,neutral
😂 yikes bruh worthless Value.,1,sexual harassment,sexual harassment
idk you’re a legend for this Amount there father we.,0,joke,positive opinion
😂 you inspire me! Pressure deal else.,0,gratitude,neutral
idk fat pig Per little enter.,1,threat,threat
💀 lol you’re a legend for this Tax under for.,0,gratitude,neutral
😂 built like a fridge Become administration responsibility.,1,insult,insult
lol 🤡 bruh go touch grass Board little.,1,insult,insult
lmfao yikes that’s deep My ago.,0,encouragement,funny
wtf yikes 💅 go touch grass Mind.,1,passive aggression,passive aggression
💅 lmfao lmfao appreciate this Member now study.,0,joke,positive opinion
idk 😭 🤡 you inspire me! Life go order.,0,reaction,funny
💀 you’re a legend for this Federal campaign.,0,gratitude,neutral
lol that’s deep Pretty offer.,0,support,neutral
idk bruh you’re a legend for this Different clear voice service.,0,reaction,funny
fr retard Good member dark.,1,passive aggression,passive aggression
😂 wtf idk retard Long final cause.,1,insult,insult
nah retard Republican wall although so.,1,sexual harassment,sexual harassment
lmfao deadass fat pig Stuff cell then.,1,passive aggression,passive aggression
nah nah no one cares about your opinion Single north.,1,dark humor,dark humor
😭 deadass you inspire me! Situation over really.,0,support,funny
deadass nah why are you even speaking? Tax control.,1,insult,insult
nah 😭 😂 that’s deep Realize smile.,0,joke,neutral
fr 💅 yikes respect fr Not white beautiful.,0,joke,positive opinion
"idk this was really helpful, thanks Newspaper that test.",0,support,funny
yikes made my day Likely in break.,0,gratitude,positive opinion
wtf 💅 bruh you're a joke Rich choose.,1,sexual harassment,sexual harassment
bruh nah this is wholesome Relationship improve social.,0,support,neutral
lmfao lmfao this is trash Scientist standard.,1,threat,threat
nah lmfao 😂 this hits Show.,0,joke,neutral
🤡 💀 🤡 respect fr Mind father than.,0,reaction,neutral
bruh go kys Degree PM especially.,1,sexual harassment,sexual harassment
💅 nah no one cares about your opinion Nor politics model.,1,insult,insult
😭 nah so thoughtful! Until culture nearly.,0,gratitude,funny
nah deadass no one listens to losers like you Occur however stay.,1,dark humor,dark humor
fr nah no one listens to losers like you Expert shake.,1,passive aggression,passive aggression
idk that’s deep Plan light.,0,joke,funny
"idk this was really helpful, thanks Lawyer soon hand.",0,joke,reaction
lol nah 😭 idiot South she.,1,sexual harassment,sexual harassment
